,cluster
ARVCF,19
ARX,197
AS3MT,155
ASAH1,47
ASAH2,166
ASAP1,37
ASAP2,68
ASAP3,96
ASB1,55
ASB10,182
ASB11,193
ASB12,189
ASB14,68
ASB15,54
ASB16,175
ASB18,168
ASB2,61
ASB3,11
ASB4,44
ASB5,4
ASB7,47
ASB9,89
ASCC3,16
ASCL1,92
ASCL2,197
ASCL3,36
ASCL4,41
ASCL5,88
ASF1A,164
ASF1B,164
ASGR1,70
ASGR2,177
ASH1L,90
ASIC1,177
ASIC2,11
ASIC3,97
ASIC4,190
ASIC5,179
ASIP,37
ASL,126
ASNS,108
ASNSD1,31
ASPA,46
ASPH,164
ASPHD1,187
ASPHD2,55
ASPM,162
ASPSCR1,73
ASRGL1,42
ASTL,133
ASTN1,53
ASTN2,192
ASXL1,37
ASXL3,166
ASZ1,16
ATAD1,46
ATAD2,131
ATAD2B,64
ATAD3A,84
ATAD3B,84
ATAD3C,74
ATAD5,48
ATCAY,4
ATF1,136
ATF2,28
ATF3,96
ATF4,108
ATF5,185
ATF6,16
ATF6B,139
ATF7,49
ATF7IP,197
ATF7IP2,41
ATG16L1,58
ATG16L2,68
ATG2A,119
ATG2B,55
ATG4A,33
ATG4B,193
ATG4C,37
ATG4D,187
ATG7,58
ATG9A,107
ATL1,27
ATL2,89
ATL3,20
ATM,140
ATMIN,162
ATN1,190
ATOH1,142
ATOH7,196
ATOH8,26
ATOSA,42
ATOSB,176
ATP10A,169
ATP10B,173
ATP10D,50
ATP11A,74
ATP11B,77
ATP11C,57
ATP12A,65
ATP13A1,85
ATP13A2,70
ATP13A3,89
ATP13A4,132
ATP13A5,55
ATP1A1,111
ATP1A2,190
ATP1A3,65
ATP1A4,191
ATP1B1,33
ATP1B2,3
ATP1B3,115
ATP1B4,143
ATP2A1,24
ATP2A2,101
ATP2A3,141
ATP2B1,104
ATP2B2,74
ATP2B3,179
ATP2B4,35
ATP2C1,85
ATP2C2,181
ATP4A,7
ATP4B,166
